O1x,O2x,O3x,O4x,O5x,O1y,O2y,O3y,O4y,O5y,Rshot
23.59,-22.52,-11.66,-3.17,-14.24,40.12,43.65,15.74,29.0,39.32,3
-23.06,12.54,3.77,4.42,-6.28,37.16,17.08,41.3,34.43,41.01,3
0.62,6.01,-18.33,17.23,-4.6,11.71,43.31,24.35,22.97,40.45,3
-22.92,22.06,7.0,-16.91,5.59,39.72,33.37,24.83,18.71,17.37,3
22.69,-17.1,-16.46,1.44,9.31,33.1,14.07,35.58,23.28,14.49,3
10.01,-23.28,-18.56,9.04,15.16,16.17,42.15,14.72,40.82,39.13,3
-3.86,2.04,-23.03,-17.97,-9.83,39.84,41.6,36.61,20.25,37.48,3
-14.38,20.19,-0.03,-22.76,7.39,37.01,32.85,20.73,33.21,18.61,3
-3.62,-8.8,8.43,23.02,0.71,42.83,16.01,19.59,41.63,38.95,3
16.22,22.92,-1.01,-0.99,-5.92,45.97,38.77,38.73,34.16,16.11,3
